"","date","Country","diabetes_prevalence","aged_70_older","total_deaths"
"157",2020-06-30,"Romania",9.74,11.69,1634
"158",2020-06-30,"Russia",6.18,9.393,9166
"159",2020-06-30,"Rwanda",4.28,1.642,2
"160",2020-06-30,"Saint Kitts and Nevis",12.84,NA,0
"161",2020-06-30,"Saint Lucia",11.62,6.405,0
"162",2020-06-30,"Saint Vincent and the Grenadines",11.62,4.832,0
"163",2020-06-30,"San Marino",5.64,NA,42
"164",2020-06-30,"Sao Tome and Principe",2.42,2.162,13
"165",2020-06-30,"Saudi Arabia",17.72,1.845,1599
"166",2020-06-30,"Senegal",2.42,1.796,108
"167",2020-06-30,"Serbia",10.08,NA,274
"168",2020-06-30,"Seychelles",10.55,5.586,0
"169",2020-06-30,"Sierra Leone",2.42,1.285,60
"170",2020-06-30,"Singapore",10.99,7.049,26
"171",2020-06-30,"Sint Maarten (Dutch part)",NA,NA,15
"172",2020-06-30,"Slovakia",7.29,9.167,28
"173",2020-06-30,"Slovenia",7.25,12.93,111
"174",2020-06-30,"Somalia",6.05,1.496,90
"175",2020-06-30,"South Africa",5.52,3.053,2529
"176",2020-06-30,"South Korea",6.8,8.622,282
"177",2020-06-30,"South Sudan",10.43,2.032,37
"178",2020-06-30,"Spain",7.17,13.799,28355
"179",2020-06-30,"Sri Lanka",10.68,5.331,11
"180",2020-06-30,"Sudan",15.67,2.034,572
"181",2020-06-30,"Suriname",12.54,4.229,13
"182",2020-06-30,"Swaziland",3.94,1.845,11
"183",2020-06-30,"Sweden",4.79,13.433,5310
"184",2020-06-30,"Switzerland",5.59,12.644,1681
"185",2020-06-30,"Syria",NA,2.577,9
"186",2020-06-30,"Taiwan",NA,8.353,7
"187",2020-06-30,"Tajikistan",7.11,2.155,52
"188",2020-06-30,"Tanzania",5.75,1.874,21
"189",2020-06-30,"Thailand",7.04,6.89,58
"190",2020-06-30,"Timor",6.86,1.897,0
"191",2020-06-30,"Togo",6.15,1.525,14
"192",2020-06-30,"Trinidad and Tobago",10.97,5.819,8
"193",2020-06-30,"Tunisia",8.52,5.075,50
"194",2020-06-30,"Turkey",12.13,5.061,5115
"195",2020-06-30,"Turks and Caicos Islands",NA,NA,1
"196",2020-06-30,"Uganda",2.5,1.308,0
"197",2020-06-30,"Ukraine",7.11,11.133,1147
"198",2020-06-30,"United Arab Emirates",17.26,0.526,314
"199",2020-06-30,"United Kingdom",4.28,12.527,43575
"200",2020-06-30,"United States",10.79,9.732,126140
"201",2020-06-30,"United States Virgin Islands",12.26,10.799,6
"202",2020-06-30,"Uruguay",6.93,10.361,27
"203",2020-06-30,"Uzbekistan",7.57,2.873,24
"204",2020-06-30,"Vatican",NA,NA,0
"205",2020-06-30,"Venezuela",6.47,3.915,48
"206",2020-06-30,"Vietnam",6,4.718,0
"207",2020-06-30,"Western Sahara",NA,1.38,1
"208",2020-06-30,"Yemen",5.35,1.583,304
"209",2020-06-30,"Zambia",3.94,1.542,22
"210",2020-06-30,"Zimbabwe",1.82,1.882,7
"211",2020-06-30,"World",8.51,5.355,505323
